<usuário>/<repositório>,ID,Número,Titulo,Nº de comentários,Data de criação,Data da última atualização,Data de conclusão,Nº de perguntas no SO,Nº de respostas no SO,Nº de visualizações no SO
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUxNTI3MjMxNjY=,8418,"Deprecate Gitter rooms, Download all data",114,2016-05-03T08:26:13Z,2017-12-08T15:05:37Z,2017-03-18T08:57:28Z,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUxNzA1NTAzOTA=,10158,Incorrect output for some equations - example javascript calculator project,89,2016-08-11T00:43:35Z,2016-10-09T16:53:41Z,2016-10-08T23:30:02Z,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUyODQ5NjM4NTA=,16358,ES6: Create Strings using Template Literals - Test Fails - Doesn't detect template strings,75,2017-12-28T18:09:38Z,2019-04-23T08:52:48Z,2018-06-25T17:20:21Z,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUyMTE4MzkyMzM=,13727,Chrome displays error message in iframe - Unsual code detected,72,2017-03-04T00:43:49Z,2020-05-05T12:51:02Z,2017-06-10T06:42:51Z,0,0,0
freeCodeCamp/freeCodeCamp,MDU6SXNzdWUxMzAzMDEzMjI=,6633,"Timezone breaks submission: ""cannot read `join` of null.",70,2016-02-01T09:00:35Z,2016-02-03T20:17:30Z,2016-02-03T19:56:07Z,0,0,0
vuejs/vue,MDU6SXNzdWUxMDEzNDg1NzU=,1173,Make binding syntax more consistent,212,2015-08-17T06:26:23Z,2015-09-13T21:04:47Z,2015-09-13T20:47:55Z,1,1,978
vuejs/vue,MDU6SXNzdWUxNTQ4MTc3MTc=,2873,2.0 Changes,210,2016-05-13T23:16:15Z,2019-06-10T07:20:59Z,2016-09-17T20:53:35Z,1,5,18950
vuejs/vue,MDU6SXNzdWUyNzMyNjA1MQ==,96,General FAQ,170,2014-02-11T05:18:02Z,2016-05-03T21:21:19Z,2014-03-21T01:43:11Z,8,8,7479
vuejs/vue,MDU6SXNzdWUxMDYyMzg1NTU=,1308,1.0 binding syntax (discussion thread),137,2015-09-13T20:43:28Z,2015-09-26T00:39:08Z,2015-09-26T00:39:08Z,0,0,0
vuejs/vue,MDU6SXNzdWU0NTUzMzUwMA==,478,Typescript and Vue in general,127,2014-10-10T23:31:11Z,2020-05-27T00:30:03Z,2016-10-01T00:10:38Z,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWUxMjQ0OTY0MzU=,1769,Crack down on copyright infringement PDFs,27,2015-12-31T19:11:21Z,2017-05-16T19:41:01Z,2017-05-16T19:41:01Z,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWUyNzQwNzk0Nw==,699,Adding software versions in table-like structure,23,2014-02-12T03:44:37Z,2014-05-25T15:50:13Z,2014-05-25T15:48:37Z,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWUxMDM5MDY1Mzg=,1586,HELP_WANTED: update broken URLs,18,2015-08-30T07:54:59Z,2015-11-17T15:50:17Z,2015-11-17T15:47:44Z,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU1MDc3Nzc4Mg==,1223,It would be helpful to specify access requirements,17,2014-12-03T04:29:51Z,2016-10-02T10:48:26Z,2016-10-02T10:48:26Z,0,0,0
EbookFoundation/free-programming-books,MDU6SXNzdWU2NTY0MzM1Nw==,1427,free-science-books,16,2015-04-01T09:28:11Z,2015-09-06T12:30:27Z,2015-09-06T12:30:27Z,0,0,0
facebook/react,MDU6SXNzdWUyODUyNzgxNTk=,11940,Facebook Engineers - Thank You For 2017,264,2017-12-31T22:06:22Z,2020-07-06T11:30:27Z,2018-01-02T13:05:16Z,0,0,0
facebook/react,MDU6SXNzdWUyNDU4Mzg1MDY=,10294,React 16 RC,254,2017-07-26T20:05:32Z,2017-11-03T10:31:08Z,2017-09-26T16:49:46Z,0,0,0
facebook/react,MDU6SXNzdWUzNTYxMDM1OTI=,13525,React Fire: Modernizing React DOM,227,2018-08-31T19:45:53Z,2020-08-12T13:13:48Z,2020-08-11T11:34:24Z,0,0,0
facebook/react,MDU6SXNzdWU0MTY2ODAwOQ==,2127,Add fragment API to allow returning multiple components from render,148,2014-09-02T00:58:45Z,2017-11-28T22:17:08Z,2017-07-26T22:36:36Z,0,0,0
facebook/react,MDU6SXNzdWUyMDA3NTk4OTI=,8784,Explore encouraging users to not ship DEV mode to production,143,2017-01-13T23:49:15Z,2017-07-26T22:59:01Z,2017-07-26T22:59:01Z,0,0,0
tensorflow/tensorflow,MDU6SXNzdWUzOTc4MTYxOTI=,24828,"Error : Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above.",256,2019-01-10T12:49:35Z,2020-11-02T12:24:39Z,2019-02-01T00:04:37Z,3,3,665
tensorflow/tensorflow,MDU6SXNzdWUxMTU5NTY5Mjc=,37,Node.js (JavaScript) Wrapper API,246,2015-11-09T20:17:58Z,2018-11-09T21:48:39Z,2018-04-26T22:35:51Z,710,626,906247
tensorflow/tensorflow,MDU6SXNzdWUzNjc0MzI2MDI=,22794,Win10: ImportError: DLL load failed: The specified module could not be found,184,2018-10-06T07:29:04Z,2020-03-10T22:45:45Z,2018-10-07T20:47:09Z,0,0,0
